capacity_multiplier,w_gossip,w_rel,program_variant,replicate,mean_overload_excess,mean_user_utility,overflow_rate_slothall,hall_utilization_variance,n_skipped,n_users
0.7,0.0,1.0,0,1,0.3958333333333333,-0.0008672507364826743,0.875,0.025720164609053492,183,1600
0.7,0.0,1.0,0,2,0.44097222222222215,-0.0033826470756321216,0.85,0.033211162551440326,172,1600
0.7,0.0,1.0,0,3,0.4618055555555556,0.0010711227545107248,0.875,0.05227623456790123,167,1600
0.7,0.0,1.0,0,4,0.4513888888888889,-0.00048673864439479074,0.925,0.036265432098765434,149,1600
0.7,0.0,1.0,0,5,0.45138888888888884,-0.001455253963940777,0.925,0.02880658436213991,143,1600
0.7,0.0,1.0,1,1,0.4131944444444444,2.546839270507917e-05,0.875,0.0346900720164609,183,1600
0.7,0.0,1.0,1,2,0.42013888888888884,-0.0011743961586034857,0.9,0.028967335390946505,172,1600
0.7,0.0,1.0,1,3,0.4895833333333333,0.0017382946005818666,0.8,0.05767746913580246,167,1600
0.7,0.0,1.0,1,4,0.4375,0.00022595185168029276,0.9,0.034432870370370364,149,1600
0.7,0.0,1.0,1,5,0.4791666666666667,-0.004214549474199885,0.875,0.03768004115226337,143,1600
0.7,0.0,1.0,2,1,0.40624999999999994,9.841075596341398e-05,0.875,0.033822016460905345,183,1600
0.7,0.0,1.0,2,2,0.42013888888888884,7.192615645180922e-05,0.9,0.028967335390946505,172,1600
0.7,0.0,1.0,2,3,0.4895833333333333,0.0018785574951471061,0.8,0.05729166666666666,167,1600
0.7,0.0,1.0,2,4,0.4444444444444444,0.00022276927884377074,0.9,0.03655478395061728,149,1600
0.7,0.0,1.0,2,5,0.4756944444444445,-0.0033166029609856197,0.875,0.037583590534979415,143,1600
0.7,0.0,1.0,3,1,0.40972222222222215,0.001537345101532992,0.875,0.03401491769547325,183,1600
0.7,0.0,1.0,3,2,0.42361111111111116,-3.516038093948737e-05,0.875,0.030414094650205763,172,1600
0.7,0.0,1.0,3,3,0.4861111111111111,0.0014529144945117879,0.8,0.05690586419753085,167,1600
0.7,0.0,1.0,3,4,0.4375,2.816294574586209e-05,0.9,0.034432870370370364,149,1600
0.7,0.0,1.0,3,5,0.4826388888888889,-0.0027338984670495846,0.875,0.03796939300411522,143,1600
0.7,0.0,1.0,4,1,0.40624999999999994,0.0014644058463454711,0.875,0.033918467078189296,183,1600
0.7,0.0,1.0,4,2,0.4166666666666667,-0.0012268646773009096,0.9,0.028099279835390945,172,1600
0.7,0.0,1.0,4,3,0.4930555555555556,0.002204406147429836,0.8,0.05758101851851851,167,1600
0.7,0.0,1.0,4,4,0.44097222222222227,0.0006579261116712587,0.9,0.03539737654320987,149,1600
0.7,0.0,1.0,4,5,0.4861111111111111,-0.0020153980646136914,0.875,0.038644547325102876,143,1600
0.7,0.0,1.0,5,1,0.4166666666666666,0.0014501253940397874,0.875,0.035461676954732506,183,1600
0.7,0.0,1.0,5,2,0.4166666666666667,-0.0007562728627817705,0.9,0.02867798353909465,172,1600
0.7,0.0,1.0,5,3,0.4895833333333333,0.0015428529986093054,0.8,0.05815972222222221,167,1600
0.7,0.0,1.0,5,4,0.44097222222222227,0.0008498261874046875,0.925,0.03308256172839506,149,1600
0.7,0.0,1.0,5,5,0.4826388888888889,-0.0027873486074531683,0.875,0.038644547325102876,143,1600
0.7,0.0,1.0,6,1,0.40972222222222215,0.00020271025307010859,0.875,0.034497170781892995,183,1600
0.7,0.0,1.0,6,2,0.42013888888888884,0.00028410710918251424,0.9,0.028967335390946505,172,1600
0.7,0.0,1.0,6,3,0.4861111111111111,0.0008884942177246558,0.8,0.057966820987654315,167,1600
0.7,0.0,1.0,6,4,0.4375,0.00025818356858508195,0.925,0.03346836419753086,149,1600
0.7,0.0,1.0,6,5,0.4791666666666667,-0.002640483057548408,0.875,0.03768004115226337,143,1600
0.7,0.0,1.0,7,1,0.40624999999999994,-9.935553825926035e-05,0.875,0.0343042695473251,183,1600
0.7,0.0,1.0,7,2,0.42361111111111116,-0.0008809100999496877,0.9,0.029449588477366256,172,1600
0.7,0.0,1.0,7,3,0.4895833333333333,0.0008086054787418106,0.775,0.05883487654320987,167,1600
0.7,0.0,1.0,7,4,0.4375,-0.0009091114521288545,0.9,0.034432870370370364,149,1600
0.7,0.0,1.0,7,5,0.4791666666666667,-0.0027657545396505157,0.875,0.037872942386831275,143,1600
0.7,0.0,1.0,8,1,0.40972222222222215,0.0006607648456702008,0.875,0.03401491769547325,183,1600
0.7,0.0,1.0,8,2,0.42013888888888884,-0.002459840301598888,0.9,0.028967335390946505,172,1600
0.7,0.0,1.0,8,3,0.49652777777777773,0.0013632242213498103,0.8,0.05902777777777777,167,1600
0.7,0.0,1.0,8,4,0.43402777777777773,-0.0004081051809043856,0.9,0.0327932098765432,149,1600
0.7,0.0,1.0,8,5,0.47222222222222227,-0.0036169119762053015,0.875,0.03816229423868312,143,1600
0.7,0.0,1.0,9,1,0.3923611111111111,0.00010496075265109539,0.9,0.03160365226337448,183,1600
0.7,0.0,1.0,9,2,0.42013888888888884,-0.0005556671984959393,0.925,0.028485082304526746,172,1600
0.7,0.0,1.0,9,3,0.49652777777777773,0.0013952707002317765,0.8,0.05979938271604937,167,1600
0.7,0.0,1.0,9,4,0.43402777777777773,-0.0012310689703008393,0.9,0.033082561728395056,149,1600
0.7,0.0,1.0,9,5,0.4756944444444445,-0.003646448623112519,0.875,0.035461676954732506,143,1600
0.7,0.0,1.0,10,1,0.40624999999999994,0.0011878380246344022,0.875,0.03353266460905349,183,1600
0.7,0.0,1.0,10,2,0.4166666666666667,-0.001301858579099644,0.925,0.0283886316872428,172,1600
0.7,0.0,1.0,10,3,0.5,0.0017385404211381684,0.8,0.060185185185185175,167,1600
0.7,0.0,1.0,10,4,0.4375,0.0004905099124152912,0.9,0.03346836419753086,149,1600
0.7,0.0,1.0,10,5,0.4791666666666667,-0.0036919586227304535,0.875,0.03768004115226337,143,1600
0.7,0.0,1.0,11,1,0.40624999999999994,0.0002621587098110467,0.9,0.032375257201646086,183,1600
0.7,0.0,1.0,11,2,0.4131944444444445,-0.0004216326377354562,0.9,0.028099279835390945,172,1600
0.7,0.0,1.0,11,3,0.49652777777777773,0.0008000614748016233,0.8,0.058063271604938266,167,1600
0.7,0.0,1.0,11,4,0.43402777777777773,0.0006804715509497328,0.9,0.033757716049382706,149,1600
0.7,0.0,1.0,11,5,0.4791666666666667,-0.004150741632111021,0.9,0.03710133744855967,143,1600
0.7,0.0,1.0,12,1,0.40624999999999994,0.000996618230419699,0.9,0.032953960905349786,183,1600
0.7,0.0,1.0,12,2,0.4131944444444445,-0.00017350100359180942,0.9,0.0283886316872428,172,1600
0.7,0.0,1.0,12,3,0.4895833333333333,0.0016303647272434317,0.8,0.05758101851851851,167,1600
0.7,0.0,1.0,12,4,0.4375,0.0005457892541744513,0.9,0.034432870370370364,149,1600
0.7,0.0,1.0,12,5,0.4791666666666667,-0.0037731672413792695,0.9,0.03710133744855967,143,1600
0.7,0.0,1.0,13,1,0.40972222222222215,0.00020121893350733445,0.9,0.03324331275720164,183,1600
0.7,0.0,1.0,13,2,0.4166666666666667,-0.0004684876772807911,0.9,0.0285815329218107,172,1600
0.7,0.0,1.0,13,3,0.49652777777777773,0.0010066893444309244,0.8,0.05815972222222221,167,1600
0.7,0.0,1.0,13,4,0.4375,0.0010841963931306963,0.9,0.034432870370370364,149,1600
0.7,0.0,1.0,13,5,0.4756944444444445,-0.0030466274533682736,0.875,0.036426183127572016,143,1600
0.7,0.0,1.0,14,1,0.40277777777777773,7.809706032276154e-05,0.875,0.032375257201646086,183,1600
0.7,0.0,1.0,14,2,0.42013888888888884,-0.0008488616623799316,0.9,0.028967335390946505,172,1600
0.7,0.0,1.0,14,3,0.4826388888888889,0.0014550049001263688,0.8,0.0546875,167,1600
0.7,0.0,1.0,14,4,0.4479166666666667,0.0007491497153387172,0.9,0.035300925925925916,149,1600
0.7,0.0,1.0,14,5,0.4791666666666667,-0.0036920738922344752,0.875,0.03768004115226337,143,1600
0.7,0.0,1.0,15,1,0.40972222222222215,5.116475163958967e-05,0.875,0.033725565843621394,183,1600
0.7,0.0,1.0,15,2,0.4166666666666667,-0.001451409078144934,0.9,0.029256687242798354,172,1600
0.7,0.0,1.0,15,3,0.4756944444444444,0.0004883850154146785,0.825,0.05217978395061729,167,1600
0.7,0.0,1.0,15,4,0.4444444444444444,-0.0006525840707035968,0.9,0.03481867283950617,149,1600
0.7,0.0,1.0,15,5,0.47222222222222227,-0.002980087328251102,0.875,0.03710133744855967,143,1600
0.7,0.0,1.0,16,1,0.40624999999999994,0.00020946231757989152,0.875,0.03295396090534979,183,1600
0.7,0.0,1.0,16,2,0.42013888888888884,-0.0007189308703527786,0.9,0.03012474279835391,172,1600
0.7,0.0,1.0,16,3,0.4861111111111111,0.0012428826679388293,0.8,0.0560378086419753,167,1600
0.7,0.0,1.0,16,4,0.4444444444444444,4.610125113686081e-05,0.9,0.03481867283950617,149,1600
0.7,0.0,1.0,16,5,0.4756944444444444,-0.0031510591973346893,0.875,0.03758359053497942,143,1600
0.7,0.0,1.0,17,1,0.4131944444444444,0.0010040146767278202,0.875,0.034786522633744855,183,1600
0.7,0.0,1.0,17,2,0.40972222222222215,-0.001074616106634494,0.9,0.025398662551440326,172,1600
0.7,0.0,1.0,17,3,0.49652777777777773,0.00158071493387979,0.8,0.05922067901234567,167,1600
0.7,0.0,1.0,17,4,0.4305555555555556,-0.00010356055870943237,0.925,0.032889660493827154,149,1600
0.7,0.0,1.0,17,5,0.47222222222222227,-0.0024938349682634,0.875,0.03536522633744856,143,1600
0.7,0.0,1.0,18,1,0.40624999999999994,0.002033137260004878,0.875,0.03401491769547325,183,1600
0.7,0.0,1.0,18,2,0.42013888888888884,-0.00016580031398916617,0.9,0.02694187242798354,172,1600
0.7,0.0,1.0,18,3,0.49652777777777773,0.0016811270727339434,0.8,0.05999228395061728,167,1600
0.7,0.0,1.0,18,4,0.4305555555555556,0.0004738691244710935,0.925,0.032310956790123455,149,1600
0.7,0.0,1.0,18,5,0.4791666666666667,-0.0025517486013268355,0.875,0.03768004115226337,143,1600
0.7,0.0,1.0,19,1,0.40277777777777773,0.0012020259426208213,0.875,0.033918467078189296,183,1600
0.7,0.0,1.0,19,2,0.40972222222222215,-0.00015840177045902236,0.925,0.024048353909465015,172,1600
0.7,0.0,1.0,19,3,0.49652777777777773,0.0017022177304170326,0.8,0.05922067901234567,167,1600
0.7,0.0,1.0,19,4,0.4375,-0.0006342231389862718,0.9,0.034432870370370364,149,1600
0.7,0.0,1.0,19,5,0.47222222222222227,-0.004276554474563455,0.875,0.03536522633744856,143,1600
0.7,0.0,1.0,20,1,0.40624999999999994,-0.00012383460481942164,0.875,0.033918467078189296,183,1600
0.7,0.0,1.0,20,2,0.42013888888888884,-0.0006329454750084551,0.9,0.028967335390946505,172,1600
0.7,0.0,1.0,20,3,0.4895833333333333,0.0008012486337247537,0.8,0.05729166666666666,167,1600
0.7,0.0,1.0,20,4,0.44097222222222227,0.0004246734751359327,0.9,0.034529320987654315,149,1600
