lhs_row_id,capacity_multiplier,popularity_source,w_rel,w_rec,w_gossip,audience_size,program_variant,policy,replicate,metric_mean_overload_excess,metric_mean_user_utility,metric_overflow_rate_slothall,metric_hall_utilization_variance,metric_n_skipped,metric_n_users
0,0.8631435631172385,cosine_only,0.01745384704197178,0.5203343679348198,0.4622117850232084,100,0,no_policy,1,0.15804597701149428,-0.007865186660637846,0.475,0.023098603954727615,183,1600
0,0.8631435631172385,cosine_only,0.01745384704197178,0.5203343679348198,0.4622117850232084,100,0,cosine,1,0.1810344827586207,0.001985294512560358,0.55,0.02838331791958427,183,1600
0,0.8631435631172385,cosine_only,0.01745384704197178,0.5203343679348198,0.4622117850232084,100,0,capacity_aware,1,0.08045977011494253,0.0007604617647302802,0.575,0.006914167437354118,183,1600
0,0.8631435631172385,cosine_only,0.01745384704197178,0.5203343679348198,0.4622117850232084,100,0,no_policy,2,0.1810344827586207,-0.009676996279449668,0.575,0.022482053992161008,172,1600
0,0.8631435631172385,cosine_only,0.01745384704197178,0.5203343679348198,0.4622117850232084,100,0,cosine,2,0.24425287356321837,0.00032003965767216867,0.5,0.03245695160082794,172,1600
0,0.8631435631172385,cosine_only,0.01745384704197178,0.5203343679348198,0.4622117850232084,100,0,capacity_aware,2,0.08333333333333333,-0.0010666221712017432,0.625,0.005703087153741138,172,1600
0,0.8631435631172385,cosine_only,0.01745384704197178,0.5203343679348198,0.4622117850232084,100,0,no_policy,3,0.264367816091954,-0.0052551973362278655,0.575,0.06143479984145859,167,1600
0,0.8631435631172385,cosine_only,0.01745384704197178,0.5203343679348198,0.4622117850232084,100,0,cosine,3,0.25862068965517243,0.004744415140739875,0.475,0.05007266481701677,167,1600
0,0.8631435631172385,cosine_only,0.01745384704197178,0.5203343679348198,0.4622117850232084,100,0,capacity_aware,3,0.09195402298850573,0.0008930987784697208,0.525,0.0040295943982031944,167,1600
1,0.7440018671620189,cosine_only,0.34577083010066767,0.47969005654680413,0.17453911335252825,100,0,no_policy,1,0.33666666666666667,-0.0022779319281835343,0.85,0.030548148148148147,183,1600
1,0.7440018671620189,cosine_only,0.34577083010066767,0.47969005654680413,0.17453911335252825,100,0,cosine,1,0.3566666666666667,0.006414306134611252,0.825,0.032948148148148136,183,1600
1,0.7440018671620189,cosine_only,0.34577083010066767,0.47969005654680413,0.17453911335252825,100,0,capacity_aware,1,0.28,0.003800616878361325,0.925,0.008859259259259258,183,1600
1,0.7440018671620189,cosine_only,0.34577083010066767,0.47969005654680413,0.17453911335252825,100,0,no_policy,2,0.37333333333333335,-0.005264313816951471,0.825,0.03202962962962963,172,1600
1,0.7440018671620189,cosine_only,0.34577083010066767,0.47969005654680413,0.17453911335252825,100,0,cosine,2,0.35999999999999993,0.005982969866963685,0.825,0.026074074074074072,172,1600
1,0.7440018671620189,cosine_only,0.34577083010066767,0.47969005654680413,0.17453911335252825,100,0,capacity_aware,2,0.2866666666666667,0.001802600727896788,0.95,0.009096296296296295,172,1600
1,0.7440018671620189,cosine_only,0.34577083010066767,0.47969005654680413,0.17453911335252825,100,0,no_policy,3,0.4033333333333334,-0.004536026344649145,0.775,0.04586666666666667,167,1600
1,0.7440018671620189,cosine_only,0.34577083010066767,0.47969005654680413,0.17453911335252825,100,0,cosine,3,0.43,0.00641430267765827,0.725,0.04755555555555555,167,1600
1,0.7440018671620189,cosine_only,0.34577083010066767,0.47969005654680413,0.17453911335252825,100,0,capacity_aware,3,0.30666666666666664,0.00361489136084856,0.95,0.010488888888888888,167,1600
2,1.4386248122399263,cosine_only,0.43752461081998345,0.1398362019676277,0.42263918721238886,100,0,no_policy,1,0.0,-0.004166680873167934,0.0,0.005707498418868681,183,1600
2,1.4386248122399263,cosine_only,0.43752461081998345,0.1398362019676277,0.42263918721238886,100,0,cosine,1,0.0,-0.0009691297430254053,0.0,0.009224551498603975,183,1600
2,1.4386248122399263,cosine_only,0.43752461081998345,0.1398362019676277,0.42263918721238886,100,0,capacity_aware,1,0.0,-0.0013340898502792698,0.0,0.0060314375183179855,183,1600
2,1.4386248122399263,cosine_only,0.43752461081998345,0.1398362019676277,0.42263918721238886,100,0,no_policy,2,0.0,-0.003266015221743146,0.0,0.009378808212627454,172,1600
2,1.4386248122399263,cosine_only,0.43752461081998345,0.1398362019676277,0.42263918721238886,100,0,cosine,2,0.0,-0.0010278110903163907,0.0,0.012942138306569794,172,1600
2,1.4386248122399263,cosine_only,0.43752461081998345,0.1398362019676277,0.42263918721238886,100,0,capacity_aware,2,0.0,-0.0011639858868147711,0.0,0.008939176577660543,172,1600
2,1.4386248122399263,cosine_only,0.43752461081998345,0.1398362019676277,0.42263918721238886,100,0,no_policy,3,0.008503401360544218,-0.007009611991088604,0.025,0.020755240871858944,167,1600
2,1.4386248122399263,cosine_only,0.43752461081998345,0.1398362019676277,0.42263918721238886,100,0,cosine,3,0.00510204081632653,-0.004192130084993551,0.025,0.019899116109028645,167,1600
2,1.4386248122399263,cosine_only,0.43752461081998345,0.1398362019676277,0.42263918721238886,100,0,capacity_aware,3,0.0,-0.004407240321306745,0.0,0.013374057105835531,167,1600
3,0.5137730176759356,cosine_only,0.5704121093160521,0.07080750430997948,0.35878038637396836,100,0,no_policy,1,0.9950980392156863,-0.003965066989476327,1.0,0.0720235806740997,183,1600
3,0.5137730176759356,cosine_only,0.5704121093160521,0.07080750430997948,0.35878038637396836,100,0,cosine,1,0.9901960784313726,-0.0017132537346333265,1.0,0.06817890554914775,183,1600
3,0.5137730176759356,cosine_only,0.5704121093160521,0.07080750430997948,0.35878038637396836,100,0,capacity_aware,1,0.9705882352941174,-0.0029384397610556336,1.0,0.06145072408048185,183,1600
3,0.5137730176759356,cosine_only,0.5704121093160521,0.07080750430997948,0.35878038637396836,100,0,no_policy,2,1.0392156862745099,-0.005718845432420494,1.0,0.07388184031782646,172,1600
3,0.5137730176759356,cosine_only,0.5704121093160521,0.07080750430997948,0.35878038637396836,100,0,cosine,2,1.058823529411765,-0.00498150682382402,1.0,0.08714596949891067,172,1600
3,0.5137730176759356,cosine_only,0.5704121093160521,0.07080750430997948,0.35878038637396836,100,0,capacity_aware,2,1.0245098039215685,-0.00553492964580073,1.0,0.0663847238241702,172,1600
3,0.5137730176759356,cosine_only,0.5704121093160521,0.07080750430997948,0.35878038637396836,100,0,no_policy,3,1.0980392156862744,-0.0030193575482553568,0.975,0.12437524029219532,167,1600
3,0.5137730176759356,cosine_only,0.5704121093160521,0.07080750430997948,0.35878038637396836,100,0,cosine,3,1.093137254901961,-0.0009495711660565576,0.975,0.11687812379853901,167,1600
3,0.5137730176759356,cosine_only,0.5704121093160521,0.07080750430997948,0.35878038637396836,100,0,capacity_aware,3,1.053921568627451,-0.001200523135412368,0.975,0.08919646289888505,167,1600
4,1.10996409054304,cosine_only,0.34603990499618204,0.1604169731672632,0.49354312183655474,100,0,no_policy,1,0.0021929824561403508,-0.0032572497056389694,0.025,0.012260182620293422,183,1600
4,1.10996409054304,cosine_only,0.34603990499618204,0.1604169731672632,0.49354312183655474,100,0,cosine,1,0.006578947368421052,5.948179532424547e-05,0.025,0.016953934543962247,183,1600
4,1.10996409054304,cosine_only,0.34603990499618204,0.1604169731672632,0.49354312183655474,100,0,capacity_aware,1,0.0,-0.0005309767833387014,0.0,0.01083666769262337,183,1600
4,1.10996409054304,cosine_only,0.34603990499618204,0.1604169731672632,0.49354312183655474,100,0,no_policy,2,0.006578947368421052,-0.0019898853258928286,0.025,0.01617164255668411,172,1600
4,1.10996409054304,cosine_only,0.34603990499618204,0.1604169731672632,0.49354312183655474,100,0,cosine,2,0.008771929824561403,0.0009320510318502784,0.05,0.0164024828152252,172,1600
4,1.10996409054304,cosine_only,0.34603990499618204,0.1604169731672632,0.49354312183655474,100,0,capacity_aware,2,0.0021929824561403508,0.0009074291097931564,0.025,0.011824151020826922,172,1600
4,1.10996409054304,cosine_only,0.34603990499618204,0.1604169731672632,0.49354312183655474,100,0,no_policy,3,0.03728070175438596,-0.005625154507724801,0.05,0.03420283164050477,167,1600
4,1.10996409054304,cosine_only,0.34603990499618204,0.1604169731672632,0.49354312183655474,100,0,cosine,3,0.019736842105263157,-0.00285961582660093,0.025,0.024392120652508464,167,1600
4,1.10996409054304,cosine_only,0.34603990499618204,0.1604169731672632,0.49354312183655474,100,0,capacity_aware,3,0.013157894736842105,-0.003657912186317844,0.025,0.015081563558017852,167,1600
5,1.249500830570573,cosine_only,0.45618165792382054,0.5034523047856195,0.04036603729055995,100,0,no_policy,1,0.0,5.144506983924657e-05,0.0,0.006634752666498697,183,1600
5,1.249500830570573,cosine_only,0.45618165792382054,0.5034523047856195,0.04036603729055995,100,0,cosine,1,0.0,0.00827155675535323,0.0,0.011169900058788948,183,1600
5,1.249500830570573,cosine_only,0.45618165792382054,0.5034523047856195,0.04036603729055995,100,0,capacity_aware,1,0.0,0.007702922434837092,0.0,0.004871084236163601,183,1600
5,1.249500830570573,cosine_only,0.45618165792382054,0.5034523047856195,0.04036603729055995,100,0,no_policy,2,0.0,-0.001080104051361559,0.0,0.009773662551440328,172,1600
5,1.249500830570573,cosine_only,0.45618165792382054,0.5034523047856195,0.04036603729055995,100,0,cosine,2,0.0,0.009897618601244176,0.0,0.009868144788779709,172,1600
5,1.249500830570573,cosine_only,0.45618165792382054,0.5034523047856195,0.04036603729055995,100,0,capacity_aware,2,0.0,0.009725481474160915,0.0,0.004671621735113798,172,1600
5,1.249500830570573,cosine_only,0.45618165792382054,0.5034523047856195,0.04036603729055995,100,0,no_policy,3,0.00992063492063492,-0.005725241884647403,0.025,0.015085663895187706,167,1600
5,1.249500830570573,cosine_only,0.45618165792382054,0.5034523047856195,0.04036603729055995,100,0,cosine,3,0.007936507936507936,0.0042109408808755685,0.025,0.018550012597631647,167,1600
5,1.249500830570573,cosine_only,0.45618165792382054,0.5034523047856195,0.04036603729055995,100,0,capacity_aware,3,0.0,0.003376409204793163,0.0,0.005857898715041571,167,1600
6,0.853613041994632,cosine_only,0.8041860356780649,0.08741585871512286,0.10839810560681226,100,0,no_policy,1,0.1752873563218391,-0.0032575869269203393,0.475,0.02494825384242744,183,1600
6,0.853613041994632,cosine_only,0.8041860356780649,0.08741585871512286,0.10839810560681226,100,0,cosine,1,0.1925287356321839,-0.0010907852327363798,0.5,0.02990267318448056,183,1600
6,0.853613041994632,cosine_only,0.8041860356780649,0.08741585871512286,0.10839810560681226,100,0,capacity_aware,1,0.15517241379310345,-0.002037829743421753,0.5,0.021513189765270616,183,1600
6,0.853613041994632,cosine_only,0.8041860356780649,0.08741585871512286,0.10839810560681226,100,0,no_policy,2,0.20114942528735635,-0.003735326675086981,0.575,0.02525652882371075,172,1600
6,0.853613041994632,cosine_only,0.8041860356780649,0.08741585871512286,0.10839810560681226,100,0,cosine,2,0.23275862068965517,-0.0011525795294437557,0.5,0.030607301713128112,172,1600
6,0.853613041994632,cosine_only,0.8041860356780649,0.08741585871512286,0.10839810560681226,100,0,capacity_aware,2,0.1954022988505747,-0.0014058513195777777,0.55,0.02380323248337517,172,1600
6,0.853613041994632,cosine_only,0.8041860356780649,0.08741585871512286,0.10839810560681226,100,0,no_policy,3,0.20689655172413793,0.0006194639676687075,0.575,0.02926410358039372,167,1600
6,0.853613041994632,cosine_only,0.8041860356780649,0.08741585871512286,0.10839810560681226,100,0,cosine,3,0.2298850574712644,0.003197578376202728,0.55,0.03369005152596116,167,1600
6,0.853613041994632,cosine_only,0.8041860356780649,0.08741585871512286,0.10839810560681226,100,0,capacity_aware,3,0.1752873563218391,0.0022068804289301623,0.55,0.019949795217333862,167,1600
7,0.6656210497072065,cosine_only,0.5258386404530614,0.29683368567129187,0.17732767387564674,100,0,no_policy,1,0.4239130434782609,-0.006085252043849323,0.925,0.025589862073794017,183,1600
