lhs_row_id,capacity_multiplier,popularity_source,w_rel,w_rec,w_gossip,audience_size,program_variant,policy,replicate,audience_seed,phi_seed,cfg_seed,is_maximin_point,fallback_to_p0,swap_slot_a,swap_slot_b,swap_t1,swap_t2,metric_mean_overload_excess,metric_mean_user_utility,metric_overflow_rate_slothall,metric_hall_utilization_variance,metric_n_skipped,metric_n_users
1,1.1100046679050473,mixed,0.34577083010066767,0.47969005654680413,0.17453911335252825,60,5,no_policy,3,1000003,1000020,3,False,False,slot_11,slot_13,66c68e73-9691-4cde-9a70-4892045d610f,f465c4ed-8502-407e-aac9-1679137ac427,0.0021929824561403508,0.7324713438128432,0.02631578947368421,0.0259759413152765,107,960
1,1.1100046679050473,mixed,0.34577083010066767,0.47969005654680413,0.17453911335252825,60,5,cosine,3,1000003,1000020,3,False,False,slot_11,slot_13,66c68e73-9691-4cde-9a70-4892045d610f,f465c4ed-8502-407e-aac9-1679137ac427,0.008771929824561403,0.734705573009948,0.05263157894736842,0.048482866523032735,107,960
1,1.1100046679050473,mixed,0.34577083010066767,0.47969005654680413,0.17453911335252825,60,5,capacity_aware,3,1000003,1000020,3,False,False,slot_11,slot_13,66c68e73-9691-4cde-9a70-4892045d610f,f465c4ed-8502-407e-aac9-1679137ac427,0.0,0.7328139727314313,0.0,0.01343362060121063,107,960
2,2.846562030599816,fame_only,0.43752461081998345,0.1398362019676277,0.42263918721238886,60,3,no_policy,1,2000006,2000023,1,False,False,slot_02,slot_07,b94b9287-d881-49ed-ac9e-4d17365fda16,25030506-424b-454c-9eb3-bff4e812532a,0.0,0.7316180268923441,0.0,0.0022724991438457264,107,960
2,2.846562030599816,fame_only,0.43752461081998345,0.1398362019676277,0.42263918721238886,60,3,cosine,1,2000006,2000023,1,False,False,slot_02,slot_07,b94b9287-d881-49ed-ac9e-4d17365fda16,25030506-424b-454c-9eb3-bff4e812532a,0.0,0.732494578200082,0.0,0.002898377440039677,107,960
2,2.846562030599816,fame_only,0.43752461081998345,0.1398362019676277,0.42263918721238886,60,3,capacity_aware,1,2000006,2000023,1,False,False,slot_02,slot_07,b94b9287-d881-49ed-ac9e-4d17365fda16,25030506-424b-454c-9eb3-bff4e812532a,0.0,0.7322993311410149,0.0,0.0019477509712922609,107,960
2,2.846562030599816,fame_only,0.43752461081998345,0.1398362019676277,0.42263918721238886,60,3,no_policy,2,2000006,2000023,2,False,False,slot_02,slot_07,b94b9287-d881-49ed-ac9e-4d17365fda16,25030506-424b-454c-9eb3-bff4e812532a,0.0,0.7372352461641033,0.0,0.003021388111461446,101,960
2,2.846562030599816,fame_only,0.43752461081998345,0.1398362019676277,0.42263918721238886,60,3,cosine,2,2000006,2000023,2,False,False,slot_02,slot_07,b94b9287-d881-49ed-ac9e-4d17365fda16,25030506-424b-454c-9eb3-bff4e812532a,0.0,0.7378746651733915,0.0,0.0031512873804828315,101,960
2,2.846562030599816,fame_only,0.43752461081998345,0.1398362019676277,0.42263918721238886,60,3,capacity_aware,2,2000006,2000023,2,False,False,slot_02,slot_07,b94b9287-d881-49ed-ac9e-4d17365fda16,25030506-424b-454c-9eb3-bff4e812532a,0.0,0.7374349336450299,0.0,0.002141615789452967,101,960
2,2.846562030599816,fame_only,0.43752461081998345,0.1398362019676277,0.42263918721238886,60,3,no_policy,3,2000006,2000023,3,False,False,slot_02,slot_07,b94b9287-d881-49ed-ac9e-4d17365fda16,25030506-424b-454c-9eb3-bff4e812532a,0.0,0.7318334989249706,0.0,0.004735664828395193,107,960
2,2.846562030599816,fame_only,0.43752461081998345,0.1398362019676277,0.42263918721238886,60,3,cosine,3,2000006,2000023,3,False,False,slot_02,slot_07,b94b9287-d881-49ed-ac9e-4d17365fda16,25030506-424b-454c-9eb3-bff4e812532a,0.0,0.7323096171021461,0.0,0.005143076172144086,107,960
2,2.846562030599816,fame_only,0.43752461081998345,0.1398362019676277,0.42263918721238886,60,3,capacity_aware,3,2000006,2000023,3,False,False,slot_02,slot_07,b94b9287-d881-49ed-ac9e-4d17365fda16,25030506-424b-454c-9eb3-bff4e812532a,0.0,0.7319429369022449,0.0,0.003793895127990143,107,960
3,0.534432544189839,cosine_only,0.5704121093160521,0.07080750430997948,0.35878038637396836,100,4,no_policy,1,3000009,3000026,1,False,False,slot_09,slot_10,a2863300-2056-4d7c-9252-9c87141a0b4e,3e6a0b14-ee4b-42bd-8000-baa5af997516,1.1203703703703702,0.7292481715977192,1.0,0.18581390032007317,183,1600
