lhs_row_id,capacity_multiplier,popularity_source,w_rel,w_rec,w_gossip,audience_size,program_variant,policy,replicate,audience_seed,phi_seed,cfg_seed,is_maximin_point,fallback_to_p0,gossip_level,status,metric_mean_overload_excess,metric_mean_user_utility,metric_overflow_rate_slothall,metric_hall_utilization_variance,metric_n_skipped,metric_n_users,n_parse_errors,llmagent_cost_usd,llmagent_calls,llmagent_total_time_s,llmranker_total_time_s,llmranker_calls_delta,llmranker_cache_hits_delta,llmranker_cost_delta_usd
6,1.3840326049865799,fame_only,0.8041860356780649,0.08741585871512286,0.10839810560681226,100,5,no_policy,1,6000018,6000035,1,True,False,moderate,ok,0.15265957446808512,0.82609664414371,0.275,0.3899116409302013,176,1600,11,0.40158695,1600,2418.0483238716843,0.0,0,0,0.0
6,1.3840326049865799,fame_only,0.8041860356780649,0.08741585871512286,0.10839810560681226,100,5,cosine,1,6000018,6000035,1,True,False,moderate,ok,0.09946808510638298,0.8276361413402662,0.25,0.271004141307446,148,1600,2,0.42404015,1600,2322.8101427773945,0.0,0,0,0.0
6,1.3840326049865799,fame_only,0.8041860356780649,0.08741585871512286,0.10839810560681226,100,5,capacity_aware,1,6000018,6000035,1,True,False,moderate,ok,0.05425531914893618,0.8258838304941306,0.225,0.17407742735945544,157,1600,10,0.42332135000000004,1600,2444.241040382243,0.0,0,0,0.0
6,1.3840326049865799,fame_only,0.8041860356780649,0.08741585871512286,0.10839810560681226,100,5,llm_ranker,1,6000018,6000035,1,True,False,moderate,ok,0.15159574468085107,0.8260543606000018,0.325,0.3905487651526584,142,1600,1,0.4247454,1600,2342.182019070431,0.0128492436488159,0,0,0.0
7,0.9140526242680163,fame_only,0.5258386404530614,0.29683368567129187,0.17732767387564674,60,0,no_policy,1,7000021,7000038,1,True,False,moderate,ok,0.1120967741935484,0.8258018544542859,0.225,0.3227926157166532,105,960,6,0.2386087,960,1410.1262851378415,0.0,0,0,0.0
7,0.9140526242680163,fame_only,0.5258386404530614,0.29683368567129187,0.17732767387564674,60,0,cosine,1,7000021,7000038,1,True,False,moderate,ok,0.06693548387096775,0.8272728975949712,0.2,0.19703626623501755,108,960,5,0.2523714,960,1425.051099280885,0.0,0,0,0.0
7,0.9140526242680163,fame_only,0.5258386404530614,0.29683368567129187,0.17732767387564674,60,0,capacity_aware,1,7000021,7000038,1,True,False,moderate,ok,0.03387096774193548,0.8261601378462907,0.15,0.12232628049485487,95,960,4,0.25273575000000004,960,1386.3971544584492,0.0,0,0,0.0
7,0.9140526242680163,fame_only,0.5258386404530614,0.29683368567129187,0.17732767387564674,60,0,llm_ranker,1,7000021,7000038,1,True,False,moderate,ok,0.07983870967741935,0.8244664048467364,0.2,0.2456353335645739,85,960,8,0.25363505000000003,960,1447.4234372914652,0.0074745125020854175,0,0,0.0
13,0.6657772195836948,fame_only,0.6847116849394436,0.2447748369406085,0.07051347811994792,30,4,no_policy,1,13000039,13000056,1,True,False,moderate,ok,0.026315789473684216,0.8262324973697707,0.13157894736842105,0.17176013442554086,51,480,4,0.12063345,480,724.8730329004466,0.0,0,0,0.0
13,0.6657772195836948,fame_only,0.6847116849394436,0.2447748369406085,0.07051347811994792,30,4,cosine,1,13000039,13000056,1,True,False,moderate,ok,0.005720823798626999,0.8278175668308029,0.07894736842105263,0.10335713785619266,48,480,0,0.12693480000000001,480,702.2947462412994,0.0,0,0,0.0
