lhs_row_id,capacity_multiplier,popularity_source,w_rel,w_rec,w_gossip,audience_size,program_variant,policy,replicate,audience_seed,phi_seed,cfg_seed,is_maximin_point,fallback_to_p0,gossip_level,status,metric_mean_overload_excess,metric_mean_user_utility,metric_overflow_rate_slothall,metric_hall_utilization_variance,metric_n_skipped,metric_n_users,n_parse_errors,llmagent_cost_usd,llmagent_calls,llmagent_total_time_s,llmranker_total_time_s,llmranker_calls_delta,llmranker_cache_hits_delta,llmranker_cost_delta_usd
0,0.8631435631172385,cosine_only,0.01745384704197178,0.5203343679348198,0.4622117850232084,100,0,no_policy,1,0,17,1,True,False,strong,ok,0.32155172413793104,0.026946648184930755,0.425,0.5527150217994451,331,1600,6,0.3491057,1600,2186.5627643163316,0.0,0,0,0.0
0,0.8631435631172385,cosine_only,0.01745384704197178,0.5203343679348198,0.4622117850232084,100,0,cosine,1,0,17,1,True,False,strong,ok,0.3158680834001604,0.03487613372351399,0.475,0.47381864623243936,136,1600,3,0.378957,1600,2228.6387052620994,0.0,0,0,0.0
0,0.8631435631172385,cosine_only,0.01745384704197178,0.5203343679348198,0.4622117850232084,100,0,capacity_aware,1,0,17,1,True,False,strong,ok,0.17507016840417,0.03185184677371505,0.525,0.11353327167833709,145,1600,3,0.3757627,1600,2195.7323408722878,0.0,0,0,0.0
1,0.7440018671620189,cosine_only,0.34577083010066767,0.47969005654680413,0.17453911335252825,100,0,no_policy,1,1000003,1000020,1,True,False,moderate,ok,0.37636486486486487,0.033639919450889,0.525,0.4632888888888889,358,1600,12,0.34816885000000003,1600,2181.531456381432,0.0,0,0,0.0
1,0.7440018671620189,cosine_only,0.34577083010066767,0.47969005654680413,0.17453911335252825,100,0,cosine,1,1000003,1000020,1,True,False,moderate,ok,0.3848513513513514,0.04015725958193734,0.65,0.31831111111111116,175,1600,7,0.37809335,1600,2247.502543886658,0.0,0,0,0.0
1,0.7440018671620189,cosine_only,0.34577083010066767,0.47969005654680413,0.17453911335252825,100,0,capacity_aware,1,1000003,1000020,1,True,False,moderate,ok,0.29445945945945945,0.03452738960658024,0.75,0.12678518518518517,195,1600,8,0.3734192,1600,2308.7519384748302,0.0,0,0,0.0
2,1.4386248122399263,cosine_only,0.43752461081998345,0.1398362019676277,0.42263918721238886,100,0,no_policy,1,2000006,2000023,1,True,False,strong,ok,0.06428571428571428,0.027400553293253235,0.175,0.22776775109136627,317,1600,9,0.350153,1600,2352.633350796881,0.0,0,0,0.0
2,1.4386248122399263,cosine_only,0.43752461081998345,0.1398362019676277,0.42263918721238886,100,0,cosine,1,2000006,2000023,1,True,False,strong,ok,0.0423469387755102,0.03643298053932574,0.2,0.14040446110416957,142,1600,5,0.37946135000000003,1600,2348.5522045682883,0.0,0,0,0.0
2,1.4386248122399263,cosine_only,0.43752461081998345,0.1398362019676277,0.42263918721238886,100,0,capacity_aware,1,2000006,2000023,1,True,False,strong,ok,0.021938775510204084,0.03155337710648091,0.075,0.08326777422987337,152,1600,2,0.3776295,1600,2380.8752956085373,0.0,0,0,0.0
6,0.853613041994632,cosine_only,0.8041860356780649,0.08741585871512286,0.10839810560681226,100,0,no_policy,1,6000018,6000035,1,True,False,moderate,ok,0.25258620689655176,0.029391315059438528,0.4,0.3341480600695821,368,1600,11,0.34696915,1600,2367.4285297878087,0.0,0,0,0.0
6,0.853613041994632,cosine_only,0.8041860356780649,0.08741585871512286,0.10839810560681226,100,0,cosine,1,6000018,6000035,1,True,False,moderate,ok,0.23258620689655177,0.04193032577853379,0.5,0.24118113357114546,183,1600,9,0.37779345000000003,1600,2407.206775082159,0.0,0,0,0.0
6,0.853613041994632,cosine_only,0.8041860356780649,0.08741585871512286,0.10839810560681226,100,0,capacity_aware,1,6000018,6000035,1,True,False,moderate,ok,0.16044624746450306,0.03275197303749725,0.575,0.08393887347513983,170,1600,5,0.37505785,1600,2381.5331893811235,0.0,0,0,0.0
12,0.9491055955513588,cosine_only,0.28071875870237406,0.6241404590155623,0.09514078228206367,100,0,no_policy,1,12000036,12000053,1,True,False,moderate,ok,0.209375,0.03286225637681782,0.425,0.3216326678240741,350,1600,11,0.3479869,1600,2221.068536527804,0.0,0,0,0.0
12,0.9491055955513588,cosine_only,0.28071875870237406,0.6241404590155623,0.09514078228206367,100,0,cosine,1,12000036,12000053,1,True,False,moderate,ok,0.18958881578947367,0.04042525732187829,0.425,0.23370587384259256,183,1600,4,0.3779171,1600,2274.223713781568,0.0,0,0,0.0
12,0.9491055955513588,cosine_only,0.28071875870237406,0.6241404590155623,0.09514078228206367,100,0,capacity_aware,1,12000036,12000053,1,True,False,moderate,ok,0.10886513157894737,0.03328030488294,0.45,0.09980830439814815,178,1600,5,0.37489330000000004,1600,2177.715112588834,0.0,0,0,0.0
14,0.5178202147107547,cosine_only,0.5707947022568376,0.12085567093861324,0.3083496268045492,100,0,no_policy,1,14000042,14000059,1,True,False,moderate,ok,0.7266025641025641,0.032409979469927325,0.7,0.75960219478738,357,1600,8,0.34808415000000004,1600,2250.066485256655,0.0,0,0,0.0
14,0.5178202147107547,cosine_only,0.5707947022568376,0.12085567093861324,0.3083496268045492,100,0,cosine,1,14000042,14000059,1,True,False,moderate,ok,0.8057158119658119,0.04049249712023622,0.8,0.7035893918609969,180,1600,5,0.377602,1600,2231.4110292094992,0.0,0,0,0.0
14,0.5178202147107547,cosine_only,0.5707947022568376,0.12085567093861324,0.3083496268045492,100,0,capacity_aware,1,14000042,14000059,1,True,False,moderate,ok,0.7594551282051283,0.03596841137884587,0.9,0.3144147233653406,187,1600,8,0.37404055,1600,2204.49488302588,0.0,0,0,0.0
17,1.4087381826481025,cosine_only,0.3130276253535119,0.3569324863710438,0.3300398882754443,100,0,no_policy,1,17000051,17000068,1,True,False,moderate,ok,0.01979166666666667,0.033958653804397415,0.2,0.10974472736625514,365,1600,8,0.34732865,1600,2140.564340144745,0.0,0,0,0.0
17,1.4087381826481025,cosine_only,0.3130276253535119,0.3569324863710438,0.3300398882754443,100,0,cosine,1,17000051,17000068,1,True,False,moderate,ok,0.0234375,0.03993443541092624,0.125,0.09686053240740744,184,1600,5,0.37732695,1600,2133.4655093078036,0.0,0,0,0.0
17,1.4087381826481025,cosine_only,0.3130276253535119,0.3569324863710438,0.3300398882754443,100,0,capacity_aware,1,17000051,17000068,1,True,False,moderate,ok,0.003125,0.035698160832517103,0.075,0.0450022505144033,171,1600,7,0.37743915,1600,2157.9769023522967,0.0,0,0,0.0
31,1.3634567124311596,cosine_only,0.3420518208454852,0.5959476662794291,0.06200051287508574,100,0,no_policy,1,31000093,31000110,1,True,False,moderate,ok,0.034239130434782605,0.036094244568220336,0.2,0.11788489813064484,365,1600,9,0.3464483,1600,2115.5586569387233,0.0,0,0,0.0
31,1.3634567124311596,cosine_only,0.3420518208454852,0.5959476662794291,0.06200051287508574,100,0,cosine,1,31000093,31000110,1,True,False,moderate,ok,0.035869565217391305,0.03870684688453339,0.175,0.1144805012952461,173,1600,4,0.37803735,1600,2106.7198932043975,0.0,0,0,0.0
31,1.3634567124311596,cosine_only,0.3420518208454852,0.5959476662794291,0.06200051287508574,100,0,capacity_aware,1,31000093,31000110,1,True,False,moderate,ok,0.011413043478260864,0.03293817616061319,0.05,0.05665826507036336,169,1600,7,0.37785610000000003,1600,2161.2545089997584,0.0,0,0,0.0
33,1.076753516308705,cosine_only,0.09307391110568725,0.6871085944070108,0.21981749448730198,100,0,no_policy,1,33000099,33000116,1,True,False,moderate,ok,0.12297297297297297,0.03400070600403429,0.325,0.20709899088277464,357,1600,6,0.34787795,1600,2098.342759459978,0.0,0,0,0.0
33,1.076753516308705,cosine_only,0.09307391110568725,0.6871085944070108,0.21981749448730198,100,0,cosine,1,33000099,33000116,1,True,False,moderate,ok,0.11081081081081082,0.03728040710479426,0.35,0.16945323702080461,164,1600,4,0.37901245,1600,2169.5471683137584,0.0,0,0,0.0
33,1.076753516308705,cosine_only,0.09307391110568725,0.6871085944070108,0.21981749448730198,100,0,capacity_aware,1,33000099,33000116,1,True,False,moderate,ok,0.05675675675675675,0.035532786841152644,0.275,0.0864107350593837,183,1600,8,0.37632055000000003,1600,2078.2989703936037,0.0,0,0,0.0
34,0.9886738589380965,cosine_only,0.9307455724924303,0.02186066440236677,0.04739376310520291,100,0,no_policy,1,34000102,34000119,1,True,False,moderate,ok,0.15955882352941178,0.032192163887170264,0.325,0.24790144816096374,345,1600,11,0.3490954,1600,2054.3638351054396,0.0,0,0,0.0
34,0.9886738589380965,cosine_only,0.9307455724924303,0.02186066440236677,0.04739376310520291,100,0,cosine,1,34000102,34000119,1,True,False,moderate,ok,0.14485294117647057,0.03956767701470119,0.4,0.1912565679866718,173,1600,3,0.3777235,1600,2066.4901836864883,0.0,0,0,0.0
34,0.9886738589380965,cosine_only,0.9307455724924303,0.02186066440236677,0.04739376310520291,100,0,capacity_aware,1,34000102,34000119,1,True,False,moderate,ok,0.07499999999999998,0.03509028422068645,0.35,0.0775663206459054,202,1600,8,0.37484615,1600,2098.037276099669,0.0,0,0,0.0
36,0.5784402721530129,cosine_only,0.26883072418572385,0.0542201813845719,0.6769490944297043,100,0,no_policy,1,36000108,36000125,1,True,False,strong,ok,0.7010344827586208,0.028745384960707058,0.575,1.0880555555555556,301,1600,4,0.35075615,1600,2009.8818815873237,0.0,0,0,0.0
