capacity_multiplier,w_gossip,w_rel,program_variant,k_swaps,n_changed_talks,replicate,mean_overload_excess,mean_user_utility,overflow_rate_slothall,hall_utilization_variance,n_skipped,n_users
0.7,0.0,1.0,6,5,10,1,0.3923611111111111,-0.0029394231498008593,0.925,0.029867541152263376,183,1600
0.7,0.0,1.0,6,5,10,2,0.420138888888889,0.0002990102839976316,0.9,0.028002829218106998,172,1600
0.7,0.0,1.0,6,5,10,3,0.4791666666666667,0.0005171417111705523,0.85,0.05594135802469136,167,1600
0.7,0.0,1.0,6,5,10,4,0.43402777777777773,0.0008409899400430731,0.925,0.03375771604938271,149,1600
0.7,0.0,1.0,6,5,10,5,0.46875000000000006,-0.004129876942024566,0.9,0.033146862139917695,143,1600
0.7,0.0,1.0,7,7,14,1,0.40625,0.0018304013661690987,0.875,0.032375257201646086,183,1600
0.7,0.0,1.0,7,7,14,2,0.4375,-0.0010719055598019623,0.875,0.03350051440329218,172,1600
0.7,0.0,1.0,7,7,14,3,0.4791666666666667,0.0032622818605887007,0.825,0.051118827160493825,167,1600
0.7,0.0,1.0,7,7,14,4,0.40277777777777785,0.0016578951653355035,0.925,0.024305555555555552,149,1600
0.7,0.0,1.0,7,7,14,5,0.4965277777777777,-0.002584375521619222,0.875,0.04182741769547325,143,1600
0.7,0.0,1.0,8,5,10,1,0.37500000000000006,0.001145198548620101,0.9,0.02359825102880658,183,1600
0.7,0.0,1.0,8,5,10,2,0.4166666666666667,0.0015359023062046617,0.875,0.027327674897119333,172,1600
0.7,0.0,1.0,8,5,10,3,0.5000000000000001,-8.116419492580462e-05,0.85,0.06423611111111112,167,1600
0.7,0.0,1.0,8,5,10,4,0.4201388888888889,-0.0006972546184988459,0.925,0.02883873456790123,149,1600
0.7,0.0,1.0,8,5,10,5,0.4791666666666667,-0.002501119278385886,0.875,0.03661908436213992,143,1600
0.7,0.0,1.0,9,7,14,1,0.3819444444444444,-0.0007324986543972045,0.925,0.032375257201646086,183,1600
0.7,0.0,1.0,9,7,14,2,0.4131944444444445,0.003496090108237695,0.9,0.02790637860082305,172,1600
0.7,0.0,1.0,9,7,14,3,0.4965277777777777,-0.0005555830271623563,0.8,0.06221064814814814,167,1600
0.7,0.0,1.0,9,7,14,4,0.4201388888888889,0.0019213829099317082,0.925,0.03231095679012346,149,1600
0.7,0.0,1.0,9,7,14,5,0.4895833333333333,-0.0017091313751734561,0.875,0.039319701646090534,143,1600
0.7,0.0,1.0,10,8,14,1,0.3645833333333333,0.0008008005992451217,0.925,0.02224794238683127,183,1600
0.7,0.0,1.0,10,8,14,2,0.4166666666666667,-0.0004491096104902681,0.9,0.03330761316872428,172,1600
0.7,0.0,1.0,10,8,14,3,0.47916666666666674,-0.0019420061737037031,0.825,0.04986496913580246,167,1600
0.7,0.0,1.0,10,8,14,4,0.4375,-0.0012506639089406235,0.95,0.032310956790123455,149,1600
0.7,0.0,1.0,10,8,14,5,0.4861111111111111,-0.0015880540405487408,0.95,0.03806584362139918,143,1600
