lhs_row_id,capacity_multiplier,popularity_source,w_rel,w_rec,w_gossip,audience_size,program_variant,policy,replicate,audience_seed,phi_seed,cfg_seed,is_maximin_point,fallback_to_p0,gossip_level,status,metric_mean_overload_excess,metric_mean_user_utility,metric_overflow_rate_slothall,metric_hall_utilization_variance,metric_n_skipped,metric_n_users,n_parse_errors,llmagent_cost_usd,llmagent_calls,llmagent_total_time_s,llmranker_total_time_s,llmranker_calls_delta,llmranker_cache_hits_delta,llmranker_cost_delta_usd
13,0.6657772195836948,fame_only,0.6847116849394436,0.2447748369406085,0.07051347811994792,30,4,capacity_aware,1,13000039,13000056,1,True,False,moderate,ok,0.0,0.031104020507952485,0.0,0.028250367569838272,64,480,0,0.11275450000000001,480,577.7535619585542,0.0,0,0,0.0
13,0.6657772195836948,fame_only,0.6847116849394436,0.2447748369406085,0.07051347811994792,30,4,llm_ranker,1,13000039,13000056,1,True,False,moderate,ok,0.006864988558352404,0.017730909924232454,0.05263157894736842,0.0994363929146538,49,480,0,0.1132175,480,582.7720231303247,0.001683366484940052,0,0,0.0
18,1.0402672607980472,cosine_only,0.1382726779050717,0.6548914046334603,0.206835917461468,60,5,no_policy,1,18000054,18000071,1,True,False,moderate,ok,0.022556390977443604,0.03698274855982633,0.18421052631578946,0.1129251700680272,216,960,2,0.2079123,960,1121.146406080341,0.0,0,0,0.0
18,1.0402672607980472,cosine_only,0.1382726779050717,0.6548914046334603,0.206835917461468,60,5,cosine,1,18000054,18000071,1,True,False,moderate,ok,0.01278195488721804,0.04302462524428678,0.07894736842105263,0.06891912320483749,98,960,1,0.22647755,960,1161.7927567538572,0.0,0,0,0.0
18,1.0402672607980472,cosine_only,0.1382726779050717,0.6548914046334603,0.206835917461468,60,5,capacity_aware,1,18000054,18000071,1,True,False,moderate,ok,0.002255639097744359,0.03944550837030667,0.05263157894736842,0.03968631897203325,105,960,4,0.22583730000000002,960,1147.5739778000861,0.0,0,0,0.0
18,1.0402672607980472,cosine_only,0.1382726779050717,0.6548914046334603,0.206835917461468,60,5,llm_ranker,1,18000054,18000071,1,True,False,moderate,ok,0.04661654135338345,0.027673246236228327,0.23684210526315788,0.16823885109599393,92,960,2,0.22684790000000002,960,1165.113940756186,0.0034944668877869844,0,0,0.0
23,1.8126259973339311,mixed,0.10320183406770134,0.28172711461357725,0.6150710513187214,30,2,no_policy,1,23000069,23000086,1,True,False,strong,ok,0.0,0.0289642271235065,0.0,0.01479036593825876,79,480,3,0.1055229,480,564.5359085083473,0.0,0,0,0.0
23,1.8126259973339311,mixed,0.10320183406770134,0.28172711461357725,0.6150710513187214,30,2,cosine,1,23000069,23000086,1,True,False,strong,ok,0.0,0.044335657387524166,0.0,0.007390064361968628,39,480,0,0.1132438,480,546.2653747018194,0.0,0,0,0.0
23,1.8126259973339311,mixed,0.10320183406770134,0.28172711461357725,0.6150710513187214,30,2,capacity_aware,1,23000069,23000086,1,True,False,strong,ok,0.0,0.04193137016975217,0.0,0.003969630400431649,39,480,1,0.11358325000000001,480,561.4028237957973,0.0,0,0,0.0
23,1.8126259973339311,mixed,0.10320183406770134,0.28172711461357725,0.6150710513187214,30,2,llm_ranker,1,23000069,23000086,1,True,False,strong,ok,0.0,0.019148485925363282,0.0,0.027994565845762515,42,480,0,0.1131844,480,553.2341111146379,0.001699918182566762,0,0,0.0
